user,location,text
MurciaSharon,,"@VirnaJohnson @QuinteroCalle Aquí manda la constitución, no la CIDH https://t.co/jZQb7NMdqh"
Tonto_grave_321,"Santiago, Metropolitana de San",@Cristia88816169 @cnashr @CIDH @ONU_derechos ¿Solo con los camioneros se dialoga? ¿Ciudadanos de primera y de segunda clase?
JuankHiguita,Colombia,"@PizarroMariaJo @petrogustavo @CIDH @QuinteroCalle ¿O sea que si somos un estado, somos Antioquia Federal?
Si es as… https://t.co/F2zZYiyN13"
berosero,México,@petrogustavo @CIDH Y lo mismo aplica para Ibagué???
Tebyr,Colombia,@JoseJorgeMadera @mando1894 @rafagaf @PGN_COL @QuinteroCalle @petrogustavo @KevinHartmannC @CIDH @SenadoGovCo… https://t.co/2q1kcrumWX
Alfredo18817684,,"@cnashr @CIDH @ONU_derechos No entiendo por qué te impresiona, somos muchos y muchas que desde el comienzo dijimos… https://t.co/sgUb99nryj"
giova7023,,@CIDH para cuando la CIDH protegera a las victimas y no a los delincuentes.
TORRESKL,,"Reforma a la Procuraduria, que otorgó funciones jurisdiccionales, no está en armonía con fallo de la CIDH."
DvlgEnri,,@petrogustavo @CIDH Comunista de mierda mentiroso
johnherrerago,"Bogotá, D.C., Colombia","Sancionar por tres meses a un funcionario electo por voto popular, es una destitucion porque lo está apartando de s… https://t.co/AhoZBu2pj2"
EL_ESPINAL,"El Espinal, Tolima, Colombia.","Los alcaldes de Medellín e Ibagué fueron apartados del cargo provisionalmente y ya la izquierda invoca la CIDH, cua… https://t.co/xjtjcSvciL"
Tonto_grave_321,"Santiago, Metropolitana de San","@cnashr @CIDH @ONU_derechos El gobierno de Gabriel ""González"" Boric será un gobierno traicionero de sus ""supuestos… https://t.co/l2BQ2smUMM"
pamplonadenir26,,"@FelipeRuddRo @norrin72 @fdbedout No sea tarugo, la procuradora no puede suspender a un alcaldo que fue elegido por… https://t.co/BOsvHAEqwY"
Anajt12Jt,,@petrogustavo @CIDH Q poco de arrodillados y sumisos tiene Polombia https://t.co/Znic0z5TcT
JORGEAA007,,@PGN_COL La descabellada procuradora mandadera de la Bacrim de @AlvaroUribeVel  ahora se metió en política de forma… https://t.co/PTdtCrFtJI
HelenUribista,,"Valen tres tiras de mondá lo que diga el CIDH 🖕

Hay una revocatoria en curso cumpliendo lo establecido por la ley. https://t.co/xJ9eeFIQhh"
uncionregiayhwh,,@petrogustavo @CIDH Estoy de acuerdo deben restablecer al alcalde de Ibagué
MalejaV4,"Medellín, Colombia","@natiibedoya Suspender a un alcalde legalmente elegido, sin tener la competencia (fallo @CIDH) para hacerlo, es tom… https://t.co/QAn7RzkdgJ"
Maryville2106,,@Michino73864920 @petrogustavo @CIDH Ja jajajajajajajajajajaja
giova7023,,@Reo1087985 @CIDH @PGN_COL @QuinteroCalle Aunque a mi me suena que es más una jugada del estilo de Zuleta para vict… https://t.co/3EsDgzwKkw
CalleEsquina,,@anicamachob @petrogustavo @CIDH Está hablando de fico?🤔 por esa descripción solo me cuadra con esa chanda 🤷
dirleca,Bogota -Colombia.-,"@petrogustavo @CIDH Aprenda a perder, Petro es un peligro para el país. https://t.co/sB3RkbjZDf"
TORRESKL,,"Prevaricar, es suspender cuando no se puede destituir. Ha sido el criterio de la CIDH, frente a funcionarios de ele… https://t.co/Th0pRuQZ3t"
Michino73864920,,"@Maryville2106 @petrogustavo @CIDH Tranquila ponga cualquier  cifra,  el profesor que le  puso esa tarea no tiene ni idea."
Richie_why3,Colombia,@RevistaSemana @AlcaldiadeMed @NoticiasCaracol @infopresidencia @PactoHistorico y en qué queda la intervención desc… https://t.co/lv5RbuHfFL
aguijon_69,,"@petrogustavo @CIDH Gracias a Dios no tenemos a una alimaña como usted, porque sería mucho peor la represión y el s… https://t.co/et23Fhxkrp"
rosasujey,colombia ,@QuinteroCalle @cocolizo31 Bueno alcalde que pasa? Procuradora hace una  destitución en 24 horas hace lo que se le… https://t.co/KrDQhKbWuo
emara031173,"San Diego, CA","@uribevideos @petrogustavo @CIDH Blanco es, gallina lo pone y frito se come. Alguna duda que el aparato sicarial ur… https://t.co/eAXdrJ8LbI"
JavierP88433092,,@oramirezvahos @petrogustavo @CIDH Debe ser que le cayó mal un trago. No sabe lo que dice.
JulianEduarMelo,,"@14lLaita91 @camib1309 Así las cosas, luego del fallo de la CIDH se tramitó una ley estatutaria que fue aprobada po… https://t.co/JsWHPHIfMV"
ariaselcesar,Medellin,@LatertuliaMede1 @QuinteroCalle @petrogustavo @PGN_COL @FiscaliaCol @CIDH @NoticiasCaracol @DespiertaAnt… https://t.co/gNAAfsJnjk
CripticoCritico,,"@DonIzquierdo_ @QuinteroCalle Yo me adhiero, no por defender a la persona Quintero, sí por defender la jurisprudenc… https://t.co/UfqMRx6BPV"
