user,location,text
DjangoEscorpio,,"Diccionario Español-Petrista.
Hoy: ""Sanciones""
Español: Sanciones de la procuraduría.
Petrista: Golpe de Estado.… https://t.co/6gMxUbPM4c"
Eduardo70896842,,"Mores, con la destitución de #Quintero en medellín, ¿Nos queda claro que estas elecciones se las van a robar a como… https://t.co/Tq8F964rZF"
hora13noticias,Medellín,"#Hora13Noticias | #Procuraduría suspendió al alcalde Daniel #Quintero 👇
https://t.co/sdEVQTNnSR"
diablazurda,Colombia,"Buenos dias pais donde no tengo ni idea de las propuestas de Federico pero lo importante es que no gane petro.

Así… https://t.co/kw5zj4iYF0"
FESCOLOMBIA,Colombia,Convocamos a todos l@s estudiantes y ciudadanía en general de Medellín a las 05:00 PM en la Plazoleta de la… https://t.co/FvRYmcehnm
CoachMandela,,"Recordemos que para la procuradora Cabello desfalcar REFICAR, fué solo un ""error de buena fé""

#Quintero"
prensanewsco,Barranquilla - Colombia.,"Tras suspender de manera temporal al alcalde de Medellín, Daniel Quintero, por presunta participación en política e… https://t.co/y0GOJu6lJZ"
Nannaea1,"Freiburg im Breisgau, Deutschl","@PizarroMariaJo @OscarIvanRoa @petrogustavo @CIDH @QuinteroCalle No les importa cometer el error, lo que quieren es… https://t.co/QZaZbUNLON"
Por_NuestroPais,,"Sus actos son completamente ilegales, por eso se toman estas acciones, ¡basta de creerse impunes!

#Procuraduria… https://t.co/5SH9Rx2AHz"
ALEXISUNICO,"Itagui, Colombia",#QueSancionenA #Quintero por populista por qué es un alcalde de odió negro para esta ciudad tan bella como lo es #medellin
PaterMionostro,A la derecha de la derecha,"#Quintero es bruto y cobarde, mejor hubiera ido a las urnas!!"
Jose_atehortua,Medellín,#QuinteroSeQueda apoyo total a #Quintero. Hoy miércoles plantón en la alpujarra hora 5:00 PM https://t.co/DLNSjzgfdG
ElkinCalvo,Colombia,Que vergüenza da la señora Cabello. Dice “no se equivoquen conmigo” mientras destituye a #Quintero y se hace la de… https://t.co/wYtLVn7KzY
ParanoidRockBar,"Carrera 68c #79 35, 2do piso","Jajajajaja que grande es #Quintero y comparto su opinión, se lo tienen que mamar en reversa jajajajaja https://t.co/IYOf5K53Xu"
tutrinos,new york,"@silvioravel Eso no es justicia , eso es persecución política  , colombia no aguanta una dictadura uribista , graci… https://t.co/WfrukElM6s"
healthbico,Colombia,Únete a un equipo extraordinario de profesionales en salud que ya están en HealthBI https://t.co/3YiqCN6n8t… https://t.co/wuQJmz65KU
Juanfgut,"Barranquilla, Colombia",La suspensión de #Quintero termina siendo un empujón más para que #Petro gane en primera. Le terminan haciendo un f… https://t.co/nFEnErLtVE
julianareinar,,@QuinteroCalle Hasta que por fin le pusieron  tatequieto a este mequetrefe que estaba haciendo lo que se le venía e… https://t.co/Dsxqbi8GY1
HermesAngar,"Floridablanca, Santander",#QueSancionenA  #QuietoEnPrimera #Quintero en este país tristemente la justicia y los entes de control siempre han… https://t.co/23v8dFrLMC
gustavopadillao,"Cali, Colombia","Aquellos que manifiestan que la @PGN_COL no puede suspender al Alcalde de Medellín, son los mismos que dicen que la… https://t.co/kAbzP3qJta"
alertaconcon,"Concón, Chile",METEO LOCAL #QUINTERO https://t.co/ix5UYjSB6S
manuel_ponton,Bakata,#QueSancionenA #ProcuraduriaDeBolsillo #CambioEnPrimera #Quintero Exigimos garantías democráticas https://t.co/UZjmXUQCEd
IRMO_DE_JESUX,Desde cualquier lugar de #Mund,@QuinteroCalle Por el video que saca #Quintero enseñando a manejar desata la ira del #Paracol encolerizsdo le da la… https://t.co/LbIJPRk5KV
FelizzolaFaddir,,"La muerte del fiscal paraguayo fueron mercenarios como los que mataron al presidente de Haití, póngale la firma… https://t.co/872hMQqzI9"
nanitasoy,"Pereira, Colombia",@DCoronell @WRadioColombia Hoy esperaba q hablara de un tema más importante como lo es lo de #quintero. Si bien lo… https://t.co/V1xFTDEtEF
CEValparaiso,"Viña del Mar, Valparaíso","8:28 Horas #Quintero Central SAMU despacha móvil R13 a sector de Santa Rosa de Colmo, para atención de pacientes le… https://t.co/kGF8SHh0HJ"
Por_NuestroPais,,"Llegó el momento de pagar por todas las ilegalidades que hace #Quintero 

Excelente acción por parte de la @PGN_COL… https://t.co/gX1UH6pZZb"
delmarpizarro,"Bogotá, D.C., Colombia","Buen día país donde:
-Se pasan por la faja los fallos internacionales del @CIDH
- El presidente en vez de gobernar… https://t.co/zretdQxfZq"
NykhoCastillo,,"Cuando ves q la democracia se la puede llevar por el orto una sola persona, te das cuenta q esa tal democracia, no… https://t.co/0MMlkYHusA"
Leonard11991323,,"Y nos volvieron como Venezuela sacando políticos de la oposicion, procuradora cómplice del Uribismo, mientras guard… https://t.co/XR7lSuoPeE"
franco_laverde,,"#QueSancionenA al patético costurero #felipezuleta lamesuelas de Duque !!,que no se le note su animadversión contra… https://t.co/y8lqDnVJ8Y"
abrahamcuri,En mi Corralito de Piedra,"@octaviomonroyb @CatheCordoba @fdbedout @PGN_COL Ej: Alcalde de Cartagena Quinto Guerra, la Corte ni se pronunció.… https://t.co/pbZ3Zetccd"
Giancarloscine,,"Qué alguien le diga a @QuinteroCalle #Quintero que la decisión de ayer ocurrió en el marco de un país democrático,… https://t.co/a4EuiTjL3E"
GabbyG1l,Medellín,"Uno tiene derecho a hacer críticas a no comer entero, a no estar de acuerdo con #Quintero (porque sabemos lo que ha… https://t.co/5Nu2z1SCB8"
SalseRock_,Bogota,"Ok está bien la sanción a #Quintero  pero le pregunto a la @PGN_COL para cuando la sanción para Zapateiro,  Duque y… https://t.co/bEmQ6Nk9S2"
SantaValen20,,"#Quintero amigo el pueblo está contigo  todos a las calles!
La democracia ya no se silenciada más."
Angelpragma,,"@vanedelatorre #LoDeQuinteroEs grave por dos razones:

1️⃣ Queda en evidencia la persecución del gobierno a la opos… https://t.co/Ckqz52paWF"
fuk_thesystem_,,Despues de #Petro viene #Quintero en el 2026
Diego_A_GM,la capital de la resistencia,"El cambio, en primera! #Quintero"
Cp_Quintero,"Avenida Bulnes 120, Quintero","#Quintero cubierto y niebla este miércoles #11deMayo2022
Puerto con restricciones.
11.5º C y casi sin viento.

⚓… https://t.co/MuIg6dXKXM"
wilceve,Bogotá ,"#LaEncuestaDice, que el cambio se gesta a la izquierda y en primera. #ElCambioEnPrimera
#QueSancionenA
#Quintero https://t.co/nqPaHWXFyz"
jcme3,,@Tyche78Tyche Q llueva hoy si #Quintero es un idiota.
wadiaz74_2,Colombia,"@jorgecura1070 No tiene competencias, pero si fuese así esperamos también la suspensión de Iván Duque,del General Z… https://t.co/sRIlCKyGdl"
sarache88,Medellín,Ya sabemos quiénes están en contra del Cambio: son ellos la política del continuismo y del retroceso.… https://t.co/aumGRZjzp2
93Harold25,,"#Quintero una razón más para votar por el cambio ""en primera"" 
¡No pasarán!"
GUribe77892431,"Bogotá, D.C., Colombia",#Quintero el que rompe la lay debe responder por ello.
wlasoga2,Chile,"@harmanfelipe @QuinteroCalle INMIGRANTES dé Colombia LATINOAMERICA 🌎 PRESENTÉ 🇨🇴🇨🇱🇵🇪🇧🇴🇧🇷🇪🇨🇺🇾🇦🇷.
#Quintero Será nues… https://t.co/PGf1h3T5lt"
93Harold25,,"El alcalde Quintero es el claro ejemplo de resistencia en Medellín. No pasarán.
#Quintero"
93Harold25,,#Quintero la decisión popular se debe respetar.
plebiscitoanual,,@lorena_meneses #aprueboplebiscitodesalida de fundicion ventanas desde #quintero #puchuncavi #nomaszonadesacrificio… https://t.co/AtzrCv6JBx
plebiscitoanual,,@PrimeraLineaTw #aprueboplebiscitodesalida de fundicion ventanas desde #quintero #puchuncavi #nomaszonadesacrificio… https://t.co/2JrmTNmBfi
plebiscitoanual,,@FrenteRebeldes #aprueboplebiscitodesalida de fundicion ventanas desde #quintero #puchuncavi #nomaszonadesacrificio… https://t.co/R7yGKGYuiP
plebiscitoanual,,@OcielTorres3 #aprueboplebiscitodesalida de fundicion ventanas desde #quintero #puchuncavi #nomaszonadesacrificio… https://t.co/P2dfnJHcng
plebiscitoanual,,@andres20ad #aprueboplebiscitodesalida de fundicion ventanas desde #quintero #puchuncavi #nomaszonadesacrificio… https://t.co/Hag7Lsk8fz
plebiscitoanual,,@FlorenciaLagosN #aprueboplebiscitodesalida de fundicion ventanas desde #quintero #puchuncavi… https://t.co/zI9bDUQrpe
plebiscitoanual,,@Margagarcicl #aprueboplebiscitodesalida de fundicion ventanas desde #quintero #puchuncavi #nomaszonadesacrificio… https://t.co/bOyO4u511r
PactoHisterico_,Colombia,"Daniel Petrintero
#QueSancionenA #elcambioesenprimera #quintero https://t.co/Ac0gKUlHgi"
dialberto8,Colombia,"Ahora ven porque @petrogustavo no ha renunciado a su cargo de congresista?
Para la muestra un botón lo que acaban d… https://t.co/fdhsEEh26h"
johannapmerchan,bogota,"#Quintero medellín no debe dejar que los corruptos sigan manipulando todo, ustedes son gente berraca y trabajadora… https://t.co/8NEZ0Yvkfg"
Vivianaricob,Colombia,"@PGN_COL Está decisión es política, ninguna reforma le puede brindar a este ente administrativo las facultades que… https://t.co/jVh82g4J3j"
Athocha,Bogota/Colombia,#Quintero 2026 Nuevamente La Procuraduría Inicia Una Campaña Presidencial...🤣🤣
AlejandroMMT1,,Saluden al próximo presidente de Colombia ( después de Petro ) #quintero
Chiris_sanchez,Medellin,"@DanielSamperO Por eso mismo estoy en desacuerdo con la suspensión de #Quintero, por la manera tan acomodada y desi… https://t.co/ZbPvSXwCEE"
AndresArismendy,"Medellín, Antioquia","#ElCambioEnPrimera #ProcuraduriaDeBolsillo #Quintero 
Píldora para la memoria https://t.co/pehnsSD9yB"
ElpiopiodelaTAD,Sierra Nevada de Santa Marta,#Quintero  el cambio en primera nojoda
Enterate_Bogota,"Bogotá, D.C., Colombia",#ATENCIÓN | La Procuraduría decidió iniciar investigación disciplinaria y suspender de manera provisional del cargo… https://t.co/gusovMk7rU
kmilo8038,,#QueSancionen al que con sus actuaciones atente contra el Estado de Derecho... @WRadioColombia sería chevere pregun… https://t.co/Oo84wTKXxT
Javier30Perez,Barranquilla Colombia,@NestorMoralesC Puede el alcalde #Quintero participar en política mientras se encuentra suspendido? @UltimaHoraBLU
tutrinos,new york,@FicoGutierrez Pero no se nos olvide que petro está doblando a Fico en votos !!!#ElCambioEnPrimera… https://t.co/lwajVeq7PK
tutrinos,new york,"@ElQueLosDELATA @JuanTrujilloC OJO LA BESTIA ESTÁ HERIDA DE MUERTE , ESTA DANDO SUS ÚLTIMOS COLETAZOS EL 29  LE DAM… https://t.co/MqV2pegGDm"
Angelpragma,,@fdbedout Con lo de #Quintero queda totalmente claro que la rama judicial es simplemente una extensión del ejecutiv… https://t.co/9Fe19VeB22
Angelpragma,,"La sanción a #Quintero en cuestión de horas, pone en evidencia el desespero por no perder el poder.
Saben que la im… https://t.co/7MRWRjKE0X"
healthbico,Colombia,"Mira todo lo que pasa, cuando hay tiempo para ti? Tu salud es lo más importante, Agenda tu consulta… https://t.co/RgfIMFQ5Hy"
Angelpragma,,"#Quintero
El uribismo esta tan desesperado, que no le importa mostrar como maneja la procuraduría a su voluntad, ta… https://t.co/R78aehsWyI"
AVANZARAHORA,,"#quintero !  
Ahora el cambio se viene ! La procuraduría una de las muchas razones más para querer un cambio y vota… https://t.co/2jPC8N6hJp"
Angelpragma,,"La inmediata sanción a #Quintero, por parte de la procuraduría, algo totalmente inusual, demuestra flagrantemente q… https://t.co/oxjtgA965p"
AVANZARAHORA,,"#Quintero #Zapateiro que nuestra indignación se sienta este 29 de mayo en las urnas !  Nuestra rabia, por lo que pa… https://t.co/kBOGBx58xN"
AVANZARAHORA,,#Quintero  la destitución de el alcalde de Medellín nos tiene que enseñar que si no nos unimos contra todo ese esta… https://t.co/dQgOeawgFw
8389amanda,Cali,"#Quintero Nada más aterrador,  desgobierno absoluto. #QuinteroSeQueda ."
AVANZARAHORA,,#quintero no es exagerado ya podemos ver qué en Colombia SI HAY UNA MAFIA POLÍTICA SELECTIVO han denunciado a duque… https://t.co/rg6XiUQ76R
ufoguio,Colombia and Beyond,@WRadioColombia @Laurasanchez83 @Chriscoleal #SuspenciondeQuinteroEs más fuerza para la democracia que se revela an… https://t.co/fLNhogxlps
AVANZARAHORA,,#Quintero  para esto si sirve la procuraduría??? Para esto para seguir el mismo camino de inmundicias! Porque no de… https://t.co/3ca5islA1v
AVANZARAHORA,,"#Quintero seguiremos opinando ???
@PGN_COL la.corruocion que los envuelve es tanta que ya no lo PERMITIREMOS más !!… https://t.co/sbz2t0l0f8"
AVANZARAHORA,,"#Quintero la procuraduría vendida y corrupta nos demuestra la inmensa corrupción! Que indignante, que abaricia! Que… https://t.co/q3UUuk708m"
Pamelas_Chu,,Me les pierdo un rato y me encuentro con buenas noticias... @QuinteroCalle puede pasar la HDV a una empresa de cond… https://t.co/Ds0RSCP2LB
jairoanibalmch,Valencia ,"#EsInaceptable. Con una tutela, eso debería solucionarse rápidito. No olvidar la clara observancia al control de co… https://t.co/4bdKd8Tpzl"
QuisoboniJose,,"@PGN_COL @QuinteroCalle será nuestro presidente después de @petrogustavo 
#quintero"
miangelsvie,Bogota,"Que más tenemos que ver del uribismo para que respete la voluntad del pueblo: violacion de derechos civiles, un gen… https://t.co/WZ99MdWKgR"
luisjusto1985,,@diamaov #Quintero usted es un berraco q se ha hecho respetar y admirar. Tal perversidad  d ésta @PGN_COL en manos… https://t.co/Ca4u4UDOdF
betohurtadob,,"Mil gracias señora cabello por tan maravillosa gestión.
Catapultas a @petrogustavo para ganar la presidencia y a su… https://t.co/Bq0luXCMSL"
rematador7,En tododos lados,#Quintero el #Matarife1087985 dice q es un honor patriótico asesinar personas inocentes para enaltecer a las fuerzas armadas de Colombia 🇨🇴
JorgeRz87,,Ya los #URIBESTIAS llorando porque meter primera en un vehículo es apoyar a #petro #Payaso son más imbéciles vamos… https://t.co/EcuDQdCPil
