user,location,text
LauraAnadra,,"@QuinteroCalle De la mano por nuestro futuro, con Petro. #ElCambioEnPrimera ."
Juandavidhr,,@DanielPaezM Aparte de revisarte la cabeza por esos pensamientos fachos malucos que tienes jajaja ahora toca que te… https://t.co/63KkqpZX4C
frannito1,Colombia,"Ya casi podemos contar con los dedos de las manos los días, que faltan para ir a las urnas a sacar éste gobierno de… https://t.co/4G4TE4XmG8"
nacho7403,"Cali, Colombia",@JorgeIvanOspina Alcalde no se ha pronunciado acerca de la destitución de Quintero #ElCambioEnPrimera
JoseManuelB2013,"Bogotá, D.C., Colombia","Con Edgar Morin se puede ver que el pensamiento complejo es posible y necesario.
También es posible tomar una posic… https://t.co/vnypzrQ7e0"
Esteban_Lo_,,"@QuinteroCalle Con amor por un renacer, con Petro. #ElCambioEnPrimera ."
_antiuribista14,,"Mantengamos la tendencia, vamos a seguirnos los unos con los otros, somos la masa popular que llevará a Gustavo Pet… https://t.co/t9A1ljR9dZ"
MarlonGutierr_,,"@QuinteroCalle Con amor por un país para todos, con Petro y Francia. #ElCambioEnPrimera ."
VickyMesa2,Antioquia,"#ElCambioEnPrimera

Gustavo Petro 
Carlos Caicedo
Daniel Quintero 
Claudia López 
Francia Márquez 

Todo el que no… https://t.co/iuftYwEISi"
JoseRaf07325767,"Sincelejo, Colombia","#PetristaSiguePetrista
#ElCambioEnPrimera No se les OLVIDE SOLTAR el CLUTCH y ACELERAR al MÁXIMO… https://t.co/KuvuHkP8M2"
ArturoJaram_,,"@QuinteroCalle Como familia a sacar adelante al país, con Petro. #ElCambioEnPrimera ."
MaraPaz38508965,Medellín ,"@CatalinaSuarezB A los de la federación de municipios que le prometieron más de 10.000 votos a FICO, al descarado d… https://t.co/FTg11EiGxJ"
NoMasUribeNO,Colombia,"@tobonsanin El presente de Colombia es igual a Venezuela: Gobierno (uribista) viola de frente la constitución, coap… https://t.co/qMxg1aQB9t"
Alberto_Buend,,"@QuinteroCalle Con esperanza por nuestro futuro, con el Pacto Histórico. #ElCambioEnPrimera ."
and_2204,entre venus y marte,Y la procuradora venezolana en Colombia ya hizo #ElCambioEnPrimera
linam1388,,#ElCambioEnPrimera 29 de Mayo https://t.co/h0TiXF9XXa
clamitos,bogota,No sé si reír🤣 o llorar😭 pero voy por #ElCambioEnPrimera ❤️❤️😘💜 https://t.co/umF05eMjGJ
DiegoM_arin,,"@QuinteroCalle Vamos por un país nuevo, con la nueva generación. #ElCambioEnPrimera ."
JCMejia71,Polombia. Costa Caribe,"@Zuletalleras #ElCambioEnPrimera 
Eso pica y se extiende. 
Suspender a @QuinteroCalle  es el renacer de millones de… https://t.co/1OpDE7PCRo"
Ricard512,Colombia,"Para los que aún justifican el actuar de la procuradora:
Es un accionar ilegal desde que Petro fue inhabilitado y l… https://t.co/k5LYdyHPuf"
profezoide,Bogota,"@AlbertCorredor En la alpujarra hoy a las 5, y que bien que veas la luz al fin, bienvenido #ElCambioEnPrimera"
petersonmartinz,Colombia,"Una cosa es ""cambio en primera"" y otra distinta es ""cambio en primerosky"" 
Margarita pelo, no suspenda a Sanielito.

#ElCambioEnPrimera"
MaraPaz38508965,Medellín ,"Jajajajaja señora deje su desespero, nosotros los atacamos porque son indolentes, corruptos, dañinos, violentos, la… https://t.co/HvBqfrSlHm"
EpicuroDeSamos_,"Bogotá, Colombia","Feroz persecución político-judicial contra Carlos Caicedo (@carlosecaicedo).

Otro de los líderes políticos persegu… https://t.co/q9bh6SkD8E"
ahuramazdacol,Vía Láctea,@ELTIEMPO @IvanDuque @QuinteroCalle Chiquito Malo dió la orden #GolpeDeEstado #ElCambioEnPrimera  https://t.co/QqyiBWqFD3
linulera,España,@danielduquev @activismo @QuinteroCalle 🤣🤣🤣🤣🤣 el equelebreeeooo 🤣🤣🤣 es igual romper la institucionalidad q decir la… https://t.co/OsZgiVU2Fh
SEBASCHELO,Cali,el cambio es en Primera...#ElCambioEnPrimera
alejocabrera,"Neiva, Colombia","#ElCambioEnPrimera 
¡En el 2018 nos dijeron que nos íbamos a convertir como #Venezuela, y sí! 
#OjoConEl2022"
CarlosAlejoRe,,"@QuinteroCalle Juntos por el cambio, con la nueva generación. #ElCambioEnPrimera ."
StivenC_zabala,Medellín,"Si #Petro fue tan malo en Bogotá, como siempre lo quieren hacer ver; por qué allá lo siguen votando entonces y lide… https://t.co/iHZDXTLSfw"
MiltonQuinonesC,"Medellín, Colombia","@QuinteroCalle representa la democracia en Medellín, el pueblo lo eligió y el pueblo lo seguirá  defendiendo.… https://t.co/1L8Yjm4WrM"
PaolaTamayop,"Guadalajara de Buga, Colombia","@fdbedout @IvanDuque Si, los que queremos un cambio tenemos en común un candidato, pero no somos la misma persona.… https://t.co/iTq2y0nqIu"
whl_col,"Villamaría, Colombia",¿Porqué Rusia interesada en Colombia y más con la llegada de Petro al poder? Este es el cambio #elcambioesenprimera… https://t.co/tUwDBXGKf7
giotch,"Michigan, USA","#elcambioesenprimera

Jajajajajajajaja. 😆😆😆
Pintucaca Quintero @QuinteroCalle 
quieto en primera!!!… https://t.co/RdaeyMtAbK"
MaraPaz38508965,Medellín ,"#GolpeDeEstadoEnMedellín Dirá, pero yo como voy a suspender a los que me pusieron aquí, ni boba que fuera, plata es… https://t.co/nMux1fi05U"
LeonFredyM,"Bello, Colombia","La decisión de la procuradora Cabello atenta contra la democracia y contra el voto popular.

Salgamos hoy a las cal… https://t.co/RNCKz83DjJ"
acebnacional,Bogota Colombia,ACEB Barranquilla @acebnacional recorremos las calles invitando a la ciudadanía a votar el 29 de mayo por… https://t.co/jo2mkrO2rK
ahuramazdacol,Vía Láctea,@FNAraujoR Chiquito Malo dió la orden #GolpeDeEstado #ElCambioEnPrimera  https://t.co/QqyiBWqFD3
Cambioalafuerza,,@elfisgon681 La Justicia tarda pero llega #ElCambioEnPrimera
ahuramazdacol,Vía Láctea,@LafaurieCabal Chiquito Malo dió la orden #GolpeDeEstado #ElCambioEnPrimera  https://t.co/QqyiBWqFD3
montes_marmol,,"¡Solo lograron ponerle el acelerador a nuestro próximo presidente! @QuinteroCalle Gracias ""Procu"" por eso #ElCambioEnPrimera"
johnolejua_,"Bucaramanga, Colombia","Que #ElCambioEnPrimera ?
Claro pero con @ingrodolfohdez 💛💙"
Cambioalafuerza,,@APOLOC8 Vamos Colombia #ElCambioEnPrimera
edisonburbanoOK,"Buenos Aires, Argentina","¡TU VOTO ES TU PODER!
#ElCambioEnPrimera #PetroPresidente2022  #elcaucaespetro #PetroPresidente https://t.co/6xV3XwI56G"
carlosapinzonc,"Bogotá, D.C., Colombia",@jorgerojas2022 @petrogustavo @FranciaMarquezM En todo el país Dr. Rojas #ElCambioEnPrimera
NIKOLAYRODRIGUE,,#elquemadrugaalpuebloayuda este 29 de Mayo todos a las urnas temprano; vota @petrogustavo  presidente… https://t.co/MaJHpRdCKe
JCMejia71,Polombia. Costa Caribe,"@LafaurieCabal #ElCambioEnPrimera  El carro del cambio arrancó y no lo detiene nadie. ""Va como Toyota nuevo en carr… https://t.co/bqgWutLAqr"
