user,location,text
KsaBabylon,"Bogotá, D.C., Colombia",Los artistas del Jamming. https://t.co/QAoMm4WzNK
kienyke,Colombia,#Historias📝 | Son cientos de emprendedores los que se han visto afectados por la cancelación del @FestivalJamming.… https://t.co/DRR0iQ2mZg
RevistaDinero,Colombia,"¿Quién es Alejandro Casallas, creador de Jamming Festival? https://t.co/oFX0MAMbgC"
unagotica,,"La verdad, fuese yo una de las personas que había comprado boletas para el jamming me estaría muriendo. Literalment… https://t.co/ud9ChYG1q9"
NataliaLi26,En algún lugar de un gran país,"Yo empecé con las ganas de ir al jamming como en diciembre del año pasado, casi nadie se subió a ese bus conmigo po… https://t.co/GsXbcNNgkf"
babadeldiablo,,"👌🏾 así estuve de comprar entradas para el #Jamming , que hp se me rompe en corazón de ver los videos de la gente qu… https://t.co/3dAXIQDYjf"
marlonfrr,,bno caigan a mi casa para olvidarnos del jamming ;)
DavidRoldanP,Antioquia,Por culpa del festival Jamming ese ya no confundo Ibagué y Villavicencio 😂😂😂.
supertelex,Bogota D.C,"Mis citas son como el Jamming, me las  cancelan a ultima hora. 🙄"
siramaaniloracz,🕉️,hace como 3 horas en serio vi un post del novio de una amiga vendiendo el combo del Jamming... no sé si reírme o ll… https://t.co/2dMvKzSPgt
DiegoQuintero,"Bogotá, Colombia",Que dolor todos los emprendedores afectados por el fiasco del Jamming Festival. Duele leer de las lágrimas de algun… https://t.co/sqYs3cPEUA
Isabwl13,,"QUE POLÍTICO DE ESTE PAÍS ES EL PAPA DEL QUE ORGANIZO EL JAMMING FESTIBAL 
POR QUE FUE MUCHO PERO MUCHO DINERO EL QUE ROBARON"
LalisPombo,En el 23 de la 110,@alejah95 Me voy a ir con el outfit que tenia listo para el día 1 del Jamming JAJAJAJ *llega en vestido de baño*
cesarcorredor,Bogotá,Ahora todo Colombia iba ir al #Jamming!!
semora30,,@ContraGodarria Solo falta que digan que Petro les expropió el Jamming jajajaajajaj
mancho_carrillo,Bogota,Alguien sabe si @barcasababylon abre hoy?? Tengo ganas de runbiar allá jajajjajajaj #JammingFestival2022 #jammingfestival #Jamming
Stefpsiqq,"Medellín, Colombia",No entiendo cómo les causa gracia lo qué pasó con el Jamming. Se pasan.
culero_,"Bogotá, D.C., Colombia","Me voy de Twitter por hoy, nos vemos en el jamming."
Cointicilio,"Bogotá, D.C., Colombia",El tropel del jamming se lleva por mucho el premio a lo más bizarro del mes
v1v3p,Colombia,Yo solo iba al jamming por Caifanes 🥺😭 espero en algún momento de mi vida poder verlos en vivo 💔
HailGU2,Colombia,"Cancelaron el Jamming , pero le quitaron la curul a Polo Polo https://t.co/PR3zaMrquP"
thaliaruiz0594,Colombia,"Mi amiga (Medellín) fue una de las afectadas con lo del Jamming, tenía piedra pero al final, junto con su hermana (… https://t.co/gbSNfAtz8C"
andreincolombia,Bogotá ,"Actualización: saqueos y desmanes atendidos por el ESMAD en las instalaciones de Casa Babylon, sede de la organizac… https://t.co/q6jvvCTV7g"
cxd3nx,"Bogotá, DC, Colombia","el jamming                        yo 
                           🤝
             decepcionar a la gente"
SerGrinch08,,Soy el único que no siente pena por lo del Jamming (?)
RasTavito,Area Metropolitana de Medellín,No hay Jamming pero sí hay Tamales. #JammingFestival2022 https://t.co/ovLXJRa8cT
Laura_Ch3,,El plot twist del jamming es que le están haciendo tan bonita publicidad a Ibagué que todos vamos a quedar con ganas de ir 🥰
Bullgate2,"Bogotá, D.C., Colombia","Dios no estaba muerto, se había ido al Jamming."
PlazaSantisimo,Calle 127 B # 49 - 51 Bogotá,"Pues si les cancelaron el Jamming, vengan a @PlazaSantisimo que acá si la pasan bueno y comen sabroso

Calle 127 B… https://t.co/PeNedB40AM"
inrainbowssss,Eroda ,Se prendió el jamming 🥵🥵🔥🔥🔥 https://t.co/vcgwOF9XLi
CaroArbelaez,,"Si usted se pregunta cuántos marranos sacrificaron en Ibagué los del Jamming para hacer Lechona este fin de semana, fuimos más de 150.000 😐🐷"
rcnradio,"Bogotá, Colombia",Superindustria investigará a los organizadores del Jamming tras su cancelación https://t.co/5iYUfiPlEx
RATIVAJOSE,"Bogotá, D.C., Colombia","Mexicana gastó “$ 30 millones”, llegó al Jamming y quedó sola en la puerta reclamando https://t.co/pW0IgxF11C vía @Pulzo"
kienyke,Colombia,"#Colombia🇨🇴 | Tras la suspensión del Jamming Festival 2022 (@FestivalJamming), la Superintendencia de Industria y C… https://t.co/T0ymRaoWOs"
AmarantaHankTw,,Polo Polo está más aburrido que los que iban al Jamming.
slpngkat_,Flop,"Tuve un día de mierda, pero por lo menos no tengo boletas para el jamming."
LaMarcelaGomez,,"Muy triste la situación de los artesanos que robaron en Ibagué, también el momento que viven los comerciantes y aqu… https://t.co/YJ3lptl8Q9"
esquiviajorgeal,"Bogotá, Colombia ",@Karolg_69 La organización del jamming
date_radio,,"En las noticias, la más mencionada en los medios musicales, la cancelación del jamming Festival...  @canalvip_… https://t.co/hHAzWJnQwJ"
flecheins,"Medellín, Colombia","Al INPEC se le voló Matamba, y los del Jamming dijeron matanga."
_xanandra,"Bogotá, D.C., Colombia",Con fiebre y chichi en un trancon ni el hijueputa pero al menos no compre la boleta del Jamming.
HailGU2,Colombia,"Cancelaron el Jamming, pero Polo Polo perdio. Unas por otras."
DewinHerrera_,"Sampués, Colombia",Se filtran las primeras imágenes se los organizadores del #Jamming #jammingfestival #JammingFestival2022 https://t.co/g2CGemrBwb
RTVCco,"Colombia, Suramérica",Los amigos de @radionica dejan algunas historias y reacciones de los asistentes del Jamming Festival 2022 frente a… https://t.co/2tWm9w7uzE
maryduicaz,"Santa Marta, Colombia","Lo hicieron otra vez. Al estilo Fyre.
Un fraude total ese jamming festival"
loubsanmx_arias,"Bogotá, D.C., Colombia","El jamming es el reflejo de  cómo la sociedad colombiana está sumida el la corrupción, no s roban de frente y sin descaro. #FraudeHistorico"
7iGGO,"Popayán, Colombia",Like Si No sabes que es El jamming
sojiauwu,,"Piscilago este puente festivo JAJAJAJ

Jamming 
Casa Babylon 
xd https://t.co/LrsMmu7lmG"
steffc72,Insta: Stefannia_sierra,No esperen que den más información sobre lo que paso con el Jamming porque no va a pasar
elespectador,"Bogotá, Colombia",Desmanes frente a Casa Babylon por cancelación del Jamming Festival. https://t.co/oAPRWa6IV1 https://t.co/Phso0uySbv
Laura_Murcia30,"Bogotá, D.C., Colombia","Acabo de leer a un bobo hijueputa celebrando la protesta por la cancelación del Jamming y hace unos días, escribien… https://t.co/DvH77ijGZm"
JulioSn46602305,"Ginebra, Colombia","Según los uribistas, el único culpable de la cancelación del festival JAMMING que se iba a celebrar en Ibagué, este… https://t.co/lopnBN4O55"
DannyB_28,,Venga y eso del jamming que es? Orgias o algo así? 😇
